
Run	Copy_number	Feature	Average_distance_to_nearest_feature	Standard_deviation	#_of_times_shuffled_average_was_below_real_average
308	2x	DNAseI_hypersensitive_site	6083.0	18470.0	3
309	2x	DNAseI_hypersensitive_site	3208.6	6830.2	3
310	2x	DNAseI_hypersensitive_site	4852.2	13926.0	3
311	2x	DNAseI_hypersensitive_site	8293.6	21120.6	3
312	2x	DNAseI_hypersensitive_site	9558.3	37973.8	3
313	2x	DNAseI_hypersensitive_site	5547.2	20121.0	3
314	2x	DNAseI_hypersensitive_site	7919.8	27929.0	3
315	2x	DNAseI_hypersensitive_site	4664.7	11786.7	3
316	2x	DNAseI_hypersensitive_site	11365.1	40230.9	3
317	2x	DNAseI_hypersensitive_site	13304.5	28865.1	3
318	2x	DNAseI_hypersensitive_site	3219.3	7871.1	3
319	2x	DNAseI_hypersensitive_site	6338.0	14402.1	3
320	2x	DNAseI_hypersensitive_site	4365.7	13335.4	3
321	2x	DNAseI_hypersensitive_site	9286.7	31629.7	3
322	2x	DNAseI_hypersensitive_site	3688.5	11221.2	3
323	2x	DNAseI_hypersensitive_site	6642.5	19341.2	3
324	2x	DNAseI_hypersensitive_site	6527.3	18559.7	3
325	2x	DNAseI_hypersensitive_site	11922.9	42424.8	3
326	2x	DNAseI_hypersensitive_site	4064.8	7399.4	3
327	2x	DNAseI_hypersensitive_site	7527.9	18850.4	3
328	2x	DNAseI_hypersensitive_site	8627.6	39134.1	3
329	2x	DNAseI_hypersensitive_site	2923.5	6494.3	3
330	2x	DNAseI_hypersensitive_site	8651.7	28207.9	3
331	2x	DNAseI_hypersensitive_site	15431.2	53195.1	3
332	2x	DNAseI_hypersensitive_site	10941.3	29652.9	3
333	2x	DNAseI_hypersensitive_site	10180.3	35259.5	3
334	2x	DNAseI_hypersensitive_site	5639.9	21414.4	3
335	2x	DNAseI_hypersensitive_site	4077.6	11221.4	3
336	2x	DNAseI_hypersensitive_site	2836.5	6981.0	3
337	2x	DNAseI_hypersensitive_site	8055.2	37473.4	3
338	2x	DNAseI_hypersensitive_site	6975.0	20456.2	3
339	2x	DNAseI_hypersensitive_site	2015.5	2740.0	3
340	2x	DNAseI_hypersensitive_site	3063.3	7678.5	3
341	2x	DNAseI_hypersensitive_site	5523.5	16856.2	3
342	2x	DNAseI_hypersensitive_site	1776.3	2678.5	3
343	2x	DNAseI_hypersensitive_site	2217.4	4684.9	3
