Run	Copy_number	Feature	Average_distance_to_nearest_feature	Standard_deviation	#_of_times_shuffled_average_was_below_real_average
457	3x	satellite	286.4	268.6	314
458	3x	satellite	299.7	375.7	315
459	3x	satellite	327.6	387.0	316
460	3x	satellite	274.2	351.0	317
461	3x	satellite	282.3	317.1	318
462	3x	satellite	347.8	451.8	319
463	3x	satellite	1005.1	2919.0	319
464	3x	satellite	269.1	295.8	320
465	3x	satellite	410.2	534.9	320
466	3x	satellite	358.2	478.6	320
467	3x	satellite	321.4	361.3	321
468	3x	satellite	287.6	314.5	322
469	3x	satellite	256.3	256.7	323
470	3x	satellite	577.0	1795.6	323
471	3x	satellite	253.6	325.9	324
472	3x	satellite	270.7	356.5	325
473	3x	satellite	239.6	335.5	326
474	3x	satellite	270.8	250.5	327
475	3x	satellite	302.1	314.2	328
476	3x	satellite	217.3	282.4	329
477	3x	satellite	313.2	410.0	330
478	3x	satellite	372.0	425.1	330
479	3x	satellite	307.7	331.9	331
480	3x	satellite	269.1	291.1	332
481	3x	satellite	413.8	382.2	332
482	3x	satellite	358.8	616.0	332
483	3x	satellite	490.6	1849.9	332
484	3x	satellite	229.2	315.1	333
485	3x	satellite	379.4	1041.4	333
486	3x	satellite	207.7	232.1	334
487	3x	satellite	347.5	519.0	335
488	3x	satellite	381.6	431.8	335
489	3x	satellite	356.8	425.7	335
490	3x	satellite	290.8	347.2	336
491	3x	satellite	320.0	431.6	337
492	3x	satellite	268.3	327.6	338
493	3x	satellite	262.8	331.2	339
494	3x	satellite	300.4	294.5	340
495	3x	satellite	330.7	374.1	341
496	3x	satellite	1008.7	2926.5	341
497	3x	satellite	377.1	372.8	341
498	3x	satellite	420.6	572.9	341
499	3x	satellite	194.1	169.2	342
500	3x	satellite	569.5	1979.6	342
501	3x	satellite	222.6	232.5	343
502	3x	satellite	357.8	429.7	343
503	3x	satellite	305.7	374.0	344
504	3x	satellite	263.8	335.4	345
505	3x	satellite	269.1	272.3	346
506	3x	satellite	343.0	379.4	347
507	3x	satellite	479.3	490.8	347
508	3x	satellite	600.5	1980.1	347
509	3x	satellite	562.2	1797.5	347
510	3x	satellite	366.7	435.8	347
511	3x	satellite	262.8	309.7	348
512	3x	satellite	266.0	341.2	349
513	3x	satellite	425.9	1643.0	349
514	3x	satellite	370.7	433.1	349
515	3x	satellite	257.5	355.3	350
516	3x	satellite	280.0	303.7	351
517	3x	satellite	349.8	355.0	352
518	3x	satellite	236.8	247.2	353
519	3x	satellite	280.7	340.9	354
520	3x	satellite	263.7	328.9	355
521	3x	satellite	283.1	407.7	356
522	3x	satellite	708.5	3212.0	356
523	3x	satellite	292.0	274.6	357
524	3x	satellite	206.2	206.3	358
525	3x	satellite	253.2	301.3	359
526	3x	satellite	327.4	472.2	360
527	3x	satellite	378.1	506.4	360
528	3x	satellite	518.7	1431.6	360
529	3x	satellite	394.1	499.2	360
530	3x	satellite	269.0	313.7	361
531	3x	satellite	404.6	796.9	361
532	3x	satellite	328.4	393.5	362
533	3x	satellite	270.6	300.7	363
534	3x	satellite	303.5	299.9	364
535	3x	satellite	320.6	378.9	365
536	3x	satellite	296.7	367.3	366
537	3x	satellite	267.9	387.2	367
538	3x	satellite	290.8	314.6	368
539	3x	satellite	298.2	389.6	369
540	3x	satellite	271.0	292.2	370
541	3x	satellite	459.3	1249.5	370
542	3x	satellite	227.0	260.8	371
543	3x	satellite	305.7	367.6	372
544	3x	satellite	295.6	354.1	373
545	3x	satellite	749.7	2875.6	373
546	3x	satellite	415.6	591.1	373
547	3x	satellite	354.4	450.1	374
548	3x	satellite	288.6	336.3	375
549	3x	satellite	344.2	440.3	376
550	3x	satellite	335.4	385.2	377
551	3x	satellite	306.7	398.4	378
552	3x	satellite	275.0	290.5	379
553	3x	satellite	245.5	343.7	380
554	3x	satellite	308.8	313.8	381
555	3x	satellite	380.8	414.3	381
556	3x	satellite	457.4	811.6	381
557	3x	satellite	305.5	361.7	382
558	3x	satellite	264.5	366.7	383
559	3x	satellite	254.5	232.1	384
560	3x	satellite	230.4	197.5	385
561	3x	satellite	420.2	409.7	385
562	3x	satellite	253.1	265.1	386
563	3x	satellite	263.5	218.8	387
564	3x	satellite	349.1	515.0	388
565	3x	satellite	225.3	249.9	389
566	3x	satellite	367.8	319.0	389
567	3x	satellite	323.3	292.6	390
568	3x	satellite	390.3	543.5	390
569	3x	satellite	309.2	329.0	391
570	3x	satellite	271.5	243.8	392
571	3x	satellite	332.4	526.3	393
572	3x	satellite	261.7	326.2	394
573	3x	satellite	316.5	370.2	395
574	3x	satellite	381.2	569.7	395
575	3x	satellite	421.3	1022.2	395
576	3x	satellite	254.5	286.5	396
577	3x	satellite	323.7	377.5	397
578	3x	satellite	257.4	287.0	398
579	3x	satellite	320.3	386.7	399
580	3x	satellite	267.9	268.8	400
581	3x	satellite	362.8	398.5	400
582	3x	satellite	316.0	344.2	401
583	3x	satellite	301.8	334.1	402
584	3x	satellite	280.9	394.9	403
585	3x	satellite	356.7	386.3	403
586	3x	satellite	256.9	243.9	404
587	3x	satellite	261.6	288.4	405
588	3x	satellite	252.2	268.7	406
589	3x	satellite	275.3	306.9	407
590	3x	satellite	339.1	457.6	408
591	3x	satellite	374.0	430.4	408
592	3x	satellite	466.8	594.6	408
593	3x	satellite	290.5	350.5	409
594	3x	satellite	174.8	188.3	410
595	3x	satellite	258.3	297.8	411
596	3x	satellite	303.1	374.6	412
597	3x	satellite	371.7	407.5	412
598	3x	satellite	358.0	479.2	412
599	3x	satellite	294.5	389.6	413
600	3x	satellite	289.5	322.6	414
601	3x	satellite	336.3	323.9	415
602	3x	satellite	229.8	232.6	416
603	3x	satellite	603.3	1858.1	416
604	3x	satellite	265.8	394.9	417
605	3x	satellite	185.1	193.8	418
606	3x	satellite	667.2	2038.2	418
607	3x	satellite	583.8	1974.0	418
608	3x	satellite	431.5	959.1	418
609	3x	satellite	299.8	373.6	419
610	3x	satellite	272.2	318.3	420
611	3x	satellite	318.6	355.6	421
612	3x	satellite	302.2	349.1	422
613	3x	satellite	336.5	397.8	423
614	3x	satellite	300.4	419.2	424
615	3x	satellite	389.8	466.8	424
616	3x	satellite	374.5	448.2	424
617	3x	satellite	349.4	856.2	425
618	3x	satellite	300.0	298.5	426
619	3x	satellite	268.9	263.7	427
